,Unnamed: 0,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
0,7943,7967,1010,846,1,4,8,1:22.702,1:22.423,1:22.304
1,7965,7989,1011,846,1,4,10,1:29.381,1:29.258,1:29.043
2,7990,8014,1012,846,1,4,15,1:34.148,1:33.967,0
3,8000,8024,1013,846,1,4,7,1:42.371,1:42.084,1:41.886
4,8024,8048,1014,846,1,4,11,1:17.611,1:17.338,0
5,8045,8069,1015,846,1,4,12,1:11.845,1:11.724,0
6,8061,8085,1016,846,1,4,8,1:11.780,1:11.735,1:11.863
7,8078,8102,1017,846,1,4,5,1:30.989,1:30.019,1:29.418
8,8099,8123,1018,846,1,4,6,1:04.361,1:04.211,1:04.099
9,8121,8145,1019,846,1,4,8,1:26.079,1:26.385,1:26.224
10,8149,8173,1020,846,1,4,16,1:13.333,0,0
11,8160,8184,1021,846,1,4,7,1:16.697,1:16.060,1:15.800
12,8185,8209,1022,846,1,4,12,1:46.154,1:44.847,0
13,8207,8231,1023,846,1,4,14,1:20.646,1:21.068,0
14,8222,8246,1024,846,1,4,9,1:38.606,1:37.572,1:38.329
15,8241,8265,1025,846,1,4,8,1:34.201,1:33.725,1:33.301
16,8261,8285,1026,846,1,4,8,1:28.873,1:28.571,1:28.464
17,8281,8305,1027,846,1,4,8,1:17.092,1:16.447,1:16.322
18,8301,8325,1028,846,1,4,8,1:33.353,1:33.316,1:33.175
19,8324,8348,1029,846,1,4,11,1:08.891,1:08.868,0
20,8340,8364,1030,846,1,4,7,1:37.545,1:36.764,1:36.436
21,8357,8381,1031,846,1,4,4,1:04.606,1:03.819,1:03.626
22,8379,8403,1032,846,1,4,6,1:18.504,1:18.448,1:20.925
23,8400,8424,1033,846,1,4,8,1:15.444,1:15.085,1:14.966
24,8418,8442,1034,846,1,4,5,1:26.855,1:26.420,1:25.782
25,8443,8467,1035,846,1,4,10,1:27.217,1:26.885,1:26.778
26,8461,8485,1036,846,1,4,8,1:17.577,1:17.166,1:17.084
27,8483,8507,1037,846,1,4,10,1:43.514,1:42.722,1:42.657
28,8499,8523,1038,846,1,4,6,1:20.344,1:19.962,1:19.820
29,8524,8548,1039,846,1,4,11,1:16.895,1:16.640,0
30,8541,8565,1040,846,1,4,8,1:33.804,1:33.081,1:32.847
31,8561,8585,1041,846,1,4,8,1:26.829,1:26.316,1:26.458
32,8578,8622,1042,846,1,4,8,1:17.547,1:17.321,1:17.525
33,8602,8643,1043,846,1,4,9,1:15.274,1:15.051,1:14.814
34,8624,8665,1044,846,1,4,11,2:07.167,1:54.945,0
35,8642,8683,1045,846,1,4,9,1:29.464,1:28.877,1:28.542
36,8668,8709,1046,846,1,4,15,0:54.194,0:54.693,0
37,8677,8718,1047,846,1,4,4,1:36.016,1:35.849,1:35.497
38,8700,8741,1052,846,1,4,7,1:30.902,1:30.099,1:29.974
39,8720,8761,1053,846,1,4,7,1:15.009,1:14.718,1:14.875
40,8740,8781,1054,846,1,4,7,1:18.794,1:18.481,1:19.116
41,8762,8803,1055,846,1,4,9,1:17.821,1:17.696,1:18.010
42,8778,8819,1056,846,1,4,5,1:11.321,1:11.031,1:10.620
43,8798,8839,1057,846,1,4,6,1:42.167,1:41.813,1:41.747
44,8820,8861,1059,846,1,4,8,1:31.733,1:31.542,1:31.252
45,8836,8877,1058,846,1,4,4,1:04.584,1:04.298,1:04.120
46,8854,8895,1060,846,1,4,2,1:04.345,1:04.415,1:03.768
47,8878,8919,1061,846,1,4,6,1:27.444,1:27.220,1:26.897
48,8898,8939,1062,846,1,4,6,1:17.081,1:16.385,1:16.489
49,8922,8963,1063,846,1,4,10,1:58.301,1:56.025,0
50,8945,8986,1064,846,1,4,13,1:10.489,1:10.406,0
51,8956,8997,1065,846,1,4,4,1:20.916,1:20.059,1:19.989
52,8973,9014,1066,846,1,4,1,1:47.238,1:45.827,1:41.993
53,9002,9043,1067,846,1,4,8,1:25.138,1:24.642,1:23.954
54,9022,9063,1069,846,1,4,8,1:34.551,1:33.880,1:33.887
55,9044,9085,1070,846,1,4,10,1:17.569,1:17.473,1:36.830
56,9062,9103,1071,846,1,4,8,1:09.365,1:09.030,1:08.980
57,9080,9121,1051,846,1,4,6,1:22.839,1:22.216,1:21.731
58,9101,9142,1072,846,1,4,7,1:28.338,1:28.344,1:28.180
59,9117,9158,1073,846,1,4,3,1:23.553,1:23.256,1:22.931
60,9147,9188,1074,846,1,4,13,1:32.239,1:32.008,0
61,9157,9223,1075,846,1,4,11,1:29.957,1:29.651,0
62,9178,9236,1076,846,1,4,4,1:19.280,1:19.066,1:18.703
63,9197,9255,1077,846,1,4,3,1:20.168,1:19.294,1:29.131
64,9222,9280,1078,846,1,4,8,1:30.761,1:29.634,1:29.750
65,9245,9303,1079,846,1,4,11,1:20.838,1:20.471,0
66,9259,9317,1080,846,1,4,5,1:12.927,1:12.266,1:11.849
67,9285,9343,1081,846,1,4,11,1:44.237,1:43.398,0
68,9308,9366,1082,846,1,4,14,1:34.066,0,0
69,9320,9378,1083,846,1,4,6,1:41.515,1:41.821,1:42.084
70,9349,9407,1084,846,1,4,15,1:06.330,1:25.847,0
71,9359,9417,1085,846,1,4,5,1:32.672,1:32.777,1:32.032
72,9378,9436,1086,846,1,4,4,1:18.653,1:18.121,1:17.769
73,9404,9462,1087,846,1,4,10,1:45.745,1:45.603,1:46.178
74,9421,9479,1088,846,1,4,7,1:11.556,1:11.116,1:11.174
75,9441,9499,1089,846,1,4,7,1:22.130,1:21.831,1:21.584
76,9460,9518,1091,846,1,4,6,1:55.914,1:53.942,1:50.584
77,9484,9542,1092,846,1,4,10,1:30.881,1:30.473,1:31.003
78,9502,9560,1093,846,1,4,8,1:36.465,1:36.341,1:35.690
79,9522,9580,1094,846,1,4,8,1:19.857,1:19.119,1:18.721
80,9538,9596,1095,846,1,4,4,1:13.106,1:11.377,1:12.263
81,9561,9619,1096,846,1,4,7,1:25.387,1:24.903,1:24.769
82,9585,9643,1098,846,1,4,11,1:31.652,1:31.381,0
83,9613,9671,1099,846,1,4,19,1:30.447,0,0
84,9627,9685,1100,846,1,4,13,1:18.243,1:18.119,0
85,9641,9699,1101,846,1,4,7,1:42.154,1:41.485,1:41.281
86,9670,9728,1102,846,1,4,16,1:28.394,0,0
87,9684,9742,1104,846,1,4,10,1:12.877,1:12.377,1:12.254
88,9697,9755,1105,846,1,4,3,1:13.295,1:12.776,1:12.792
89,9721,9779,1106,846,1,4,7,1:21.998,1:19.347,1:28.046
90,9738,9796,1107,846,1,4,4,1:05.617,1:05.038,1:04.658
91,9756,9814,1108,846,1,4,2,1:28.917,1:28.042,1:26.961
92,9777,9835,1109,846,1,4,3,1:18.697,1:17.328,1:16.694
93,9801,9859,1110,846,1,4,7,1:59.981,1:52.252,1:47.669
94,9816,9874,1111,846,1,4,2,1:21.276,1:19.769,1:11.104
95,9843,9901,1112,846,1,4,9,1:21.995,1:21.581,1:20.979
96,9858,9916,1113,846,1,4,4,1:32.483,1:31.951,1:31.270
97,9877,9935,1114,846,1,4,3,1:30.063,1:30.296,1:29.493
98,9904,9962,1115,846,1,4,10,1:25.131,1:24.685,0
99,9916,9974,1116,846,1,4,2,1:35.110,1:35.441,1:34.853
100,9953,10011,1117,846,1,4,19,1:21.554,0,0
101,9961,10019,1118,846,1,4,7,1:10.623,1:10.021,1:11.987
102,9990,10048,1119,846,1,4,16,1:34.703,0,0
103,9999,10057,1120,846,1,4,5,1:24.368,1:23.920,1:23.816
104,10021,10079,1121,846,1,4,7,1:30.143,1:29.941,1:29.614
105,10040,10098,1122,846,1,4,6,1:28.805,1:28.479,1:28.132
106,10058,10116,1123,846,1,4,4,1:17.430,1:16.750,1:16.315
107,10076,10134,1124,846,1,4,3,1:29.536,1:28.940,1:28.489
108,10097,10155,1125,846,1,4,4,1:34.842,1:34.460,1:34.165
109,10118,10176,1126,846,1,4,5,1:27.913,1:27.871,1:27.594
110,10136,10194,1127,846,1,4,3,1:15.915,1:15.371,1:14.837
111,10157,10215,1128,846,1,4,4,1:11.760,1:10.732,1:10.542
112,10176,10234,1129,846,1,4,3,1:12.959,1:12.201,1:12.021
113,10194,10252,1130,846,1,4,1,1:12.386,1:11.872,1:11.383
114,10215,10273,1131,846,1,4,2,1:05.450,1:05.103,1:04.718
